Gene,2Me-C24,2Me-C26,2Me-C28
GI20343,1.346744239,2.496607575,1.463480437
GI20343,1.775601595,3.321112505,2.00751657
GI20343,2.14576916,4.032709773,2.505146761
GI20344,1.294275452,2.68451433,1.866539399
GI20344,1.306053237,2.626535935,1.970385011
GI20344,0.975732939,2.025180283,1.015415334
GI20344,1.323556461,2.379484853,1.132700977
GI20345,1.12959222,1.76078006,0.818897166
GI20345,1.031360146,2.821554274,2.267596461
GI20345,1.457446633,3.166798641,1.501633178
GI20345,0.399557589,1.122073732,1.182877285
GI20345,0.640132816,0.977675183,0.534290141
GI20345,0.645451829,1.540996121,1.436809667
GI20345,0.783616716,1.862824438,1.198708184
GI20345,0.919632718,2.0385547,1.048003591
GI20347,0.606057074,0.778628428,1.470091129
GI20347,0.597509074,0.964894058,1.286456526
GI20347,0.837638869,1.072010783,2.028332343
GI20347,0.577594746,0.723650651,1.812500477
GI20347,1.404622614,2.160131678,2.49667298
CG17821,2.074189543,3.380547363,1.46557728
CG17821,1.092600029,2.424291248,1.7721245
