Gene,C21,C22,C23,C24,C25,C27,C29,C31
GI20343,2.316036724,3.221617185,14.1416069,2.051264878,1.704791844,0.639167235,0,0
GI20343,1.606131588,2.376064323,11.13428544,0.516397454,1.486632348,0.653211018,0,0
GI20343,1.63770957,2.327143472,10.12114932,1.522632064,1.238527447,0.594357805,0,0
GI20344,1.320529502,3.460701816,14.25434176,1.039662405,1.95496722,0.924799678,0,0
GI20344,0.871533228,2.262651724,10.71096106,0.831018542,1.524022248,0.703428446,0,0
GI20344,1.509341576,2.093114598,10.96364987,5.32013235,1.656770388,0.573023511,0,0
GI20344,1.811905712,2.32389743,11.14799006,0.280408959,1.414811147,0.506393717,0,0
GI20345,2.42506504,2.661933251,12.41743929,0.639412762,1.711015199,0.470080145,0,0
GI20345,1.949934168,3.421298616,16.83569298,0.905499303,2.29085245,1.241756382,0,0
GI20345,1.59883203,2.531508793,13.65828632,3.422077601,2.236307697,0.775693688,0,0
GI20345,0.56667257,1.331318612,7.703239711,0.542475237,1.295048466,0.817392436,0,0
GI20345,1.13426045,1.237117282,5.868150388,2.314604909,0.762184349,0.30767558,0,0
GI20345,0.843445148,20.9683316,10.9700063,0.71546967,1.664592524,0.931547381,0,0
GI20345,1.109605349,1.821232525,9.158681298,0.522829153,1.277218667,0.639044063,0,0
GI20345,0.983021783,1.552933852,8.358120813,1.821104039,1.213028216,0.485848383,0,0
GI20347,0.545362779,1.268530585,6.908274333,0.470692593,0.814121827,0.59765289,0.339897378,0.715929251
GI20347,0.623514684,1.529132048,3.94324882,0.610147517,1.317432677,0.693820106,0.268430973,0.639764111
GI20347,0.563711601,1.395920651,7.716412146,0.559321181,1.036172319,0.677513276,0.497555958,0.898406269
GI20347,0.86567491,2.196932724,10.82832914,0.72434664,1.293207569,0.967866513,0.622299328,0.800880002
GI20347,1.357009342,2.894726566,16.64792615,1.020661561,2.4799057,1.196420815,0.299150128,0.59715986
CG17821,1.306448706,1.618746322,9.131170452,1.576938717,1.166691855,0.467479136,0,0
CG17821,1.842805395,2.773496861,13.19836749,1.670594965,1.739534471,0.825589641,0,0
